keyword,mode,volume,kd_percent,cpc,intent,serp_features
commercial hood cleaning,broad-in-geo,2400,9,8.52,transactional,
hood cleaning miami,city-modified,90,,1.84,commercial,
hood cleaning service,broad-in-geo,3600,13,11.11,navigational,
kitchen exhaust cleaning,broad-in-geo,1600,17,6.82,transactional,
restaurant hood cleaning,broad-in-geo,2900,2,12.91,commercial,
cooking hood cleaning nfpa 96,broad-in-geo,,,,,
hood cleaning brickell,city-modified,,,,,
hood cleaning coral gables,city-modified,,,,,
hood cleaning miami beach,city-modified,,,,,
hood cleaning pinecrest,city-modified,,,,,
