keyword,search_volume,cpc,competition,difficulty,intent,trend
hood cleaning checklist,480,12.39,MEDIUM,9,transactional,stable
NFPA 96 checklist,170,7.57,MEDIUM,13,commercial,stable
restaurant hood cleaning checklist,210,2.93,MEDIUM,8,transactional,stable
commercial hood cleaning checklist,170,2.93,MEDIUM,8,transactional,stable
kitchen exhaust cleaning checklist,140,2.93,MEDIUM,8,transactional,stable
hood cleaning Miami,90,1.84,MEDIUM,7,commercial,growing
NFPA 96 Miami,50,1.84,MEDIUM,7,commercial,growing
restaurant hood cleaning Miami,70,1.84,MEDIUM,7,commercial,growing
commercial hood cleaning Miami,60,1.84,MEDIUM,7,commercial,growing
kitchen exhaust cleaning Miami,50,1.84,MEDIUM,7,commercial,growing
hood cleaning inspection checklist,40,2.93,MEDIUM,8,transactional,stable
commercial kitchen hood cleaning checklist,30,2.93,MEDIUM,8,transactional,stable
NFPA 96 compliance checklist,20,7.57,MEDIUM,13,commercial,stable
restaurant hood cleaning inspection,30,2.93,MEDIUM,8,transactional,stable
kitchen exhaust system cleaning checklist,20,2.93,MEDIUM,8,transactional,stable
hood cleaning safety checklist,25,2.93,MEDIUM,8,transactional,stable
commercial hood cleaning Miami FL,40,1.84,MEDIUM,7,commercial,growing
restaurant hood cleaning Miami FL,35,1.84,MEDIUM,7,commercial,growing
NFPA 96 hood cleaning requirements,15,7.57,MEDIUM,13,commercial,stable
kitchen exhaust cleaning Miami FL,30,1.84,MEDIUM,7,commercial,growing
